CAMPAIGN_ID,CAMPAIGN_NAME,CAMPAIGN_TYPE,START_DATE,END_DATE,BUDGET_USD,OBJECTIVE,CHANNEL_ID,REGION,CURRENCY,SOURCE_SYSTEM
26,App Download Drive 2022,Affiliate,17/01/2022,2022-04-02,16386.58,traffic,11,APJ,INR,CRM_SFDC
27,Cart Abandonment Flow 2022,Affiliate,2022-04-10,2022-06-11,21125.43,conversion,5,APJ,INR,AD_PLATFORM
28,Win-Back Campaign 2022,Push,07/03/2022,2022-05-16,43660.37,upsell,12,APJ,INR,AD_PLATFORM
29,Premium Upsell Seq 2022,Paid Search,15/10/2022,2022-12-29,19272.28,conversion,5,EMEA,EUR,AD_PLATFORM
30,Referral Boost 2022,Push,2022-04-05,2022-06-10,33920.58,,9,NAM,USD,ERP_SAP
31,Summer Mega Sale 2023,Retargeting,2023-09-25,2023-10-09,40220.69,,6,APJ,INR,CRM_SFDC
32,Q1 Brand Push 2023,Email,2023-09-30,2023-10-31,29981.33,,5,EMEA,EUR,ERP_SAP
33,Holiday Deals 2023,Email,2023-01-25,2023-03-05,18434.71,,9,APJ,INR,AD_PLATFORM
34,New Launch Blitz 2023,Affiliate,2023-08-13,2023-08-30,13020.81,,2,EMEA,EUR,AD_PLATFORM
35,Retargeting Batch 5 2023,Retargeting,2023-05-20,2023-06-20,5390.98,conversion,13,EMEA,EUR,CRM_SFDC
36,B2B LinkedIn Drive 2023,Social,2023-07-01,2023-08-25,37684.35,,12,EMEA,EUR,ERP_SAP
37,YouTube Awareness 2023,Email,2023-03-18,2023-05-05,38440.81,,7,APJ,INR,ERP_SAP
38,Black Friday 2023,Paid Search,2023-04-29,2023-06-21,18324.41,awareness,6,EMEA,EUR,CRM_SFDC
39,Year-End Clearance 2023,Social,2023-04-07,2023-05-10,9035.16,,9,APJ,INR,CRM_SFDC
40,Spring Collection 2023,Social,2023-04-29,2023-06-06,39572.67,conversion,10,EMEA,EUR,AD_PLATFORM
41,Influencer Collab 11 2023,Push,2023-03-24,2023-06-02,19909.57,lead_gen,10,APJ,INR,ERP_SAP
42,Re-engagement Email 2023,Paid Search,2023-01-11,2023-02-13,47294.89,,13,APJ,INR,CRM_SFDC
43,PMax Performance 2023,Affiliate,2023-05-29,2023-06-19,40477.72,awareness,6,NAM,USD,ERP_SAP
44,IG Reels Campaign 2023,Email,2023-06-21,2023-08-16,20079.47,lead_gen,10,NAM,USD,ERP_SAP
45,Back to School 2023,Affiliate,2023-01-10,2023-03-13,22116.81,,13,NAM,USD,ERP_SAP
46,Diwali Grand Sale 2023,Influencer,26/09/2023,2023-11-05,13604.73,lead_gen,3,APJ,INR,CRM_SFDC
47,Webinar Funnel 17 2023,Email,2023-08-11,2023-08-25,42207.43,conversion,3,EMEA,EUR,CRM_SFDC
48,SEO Authority Push 2023,Paid Search,2023-02-01,2023-04-12,29828.2,retention,3,NAM,USD,ERP_SAP
49,Loyalty Rewards Drive 2023,Social,2023-09-15,2023-10-24,9950.54,conversion,6,NAM,USD,AD_PLATFORM
50,Flash Sale 2023,Social,2023-09-02,2023-11-13,19739.6,,4,EMEA,EUR,CRM_SFDC
51,Womens Day Special 2023,Affiliate,2023-04-17,2023-06-15,31346.5,,3,APJ,INR,ERP_SAP
52,Independence Day 2023,Content,2023-05-08,2023-06-02,10056.46,traffic,11,EMEA,EUR,CRM_SFDC
53,Cyber Monday 2023,Influencer,2023-05-01,2023-05-30,34980.68,,7,EMEA,EUR,CRM_SFDC
54,Christmas Festive 2023,Retargeting,2023-05-04,2023-06-03,25793.42,awareness,13,NAM,USD,CRM_SFDC
55,Affiliate Partner Launch 2023,Retargeting,2023-01-20,2023-03-02,11101.92,awareness,11,APJ,INR,AD_PLATFORM
56,App Download Drive 2023,Content,18/05/2023,2023-07-28,2486.55,,5,EMEA,EUR,ERP_SAP
57,Cart Abandonment Flow 2023,Affiliate,2023-02-28,2023-03-24,8830.04,,9,NAM,USD,AD_PLATFORM
58,Win-Back Campaign 2023,Retargeting,20/08/2023,2023-09-06,13116.79,traffic,2,APJ,INR,AD_PLATFORM
59,Premium Upsell Seq 2023,Affiliate,03/07/2023,2023-09-15,13757.95,conversion,13,NAM,USD,ERP_SAP
60,Referral Boost 2023,Influencer,2023-01-15,2023-02-09,18490.9,lead_gen,13,APJ,INR,ERP_SAP
61,Summer Mega Sale 2024,Affiliate,2024-08-10,2024-08-31,5886.31,reactivation,12,EMEA,EUR,AD_PLATFORM
62,Q4 Brand Push 2024,Content,2024-08-04,2024-09-22,17699.87,lead_gen,13,NAM,USD,ERP_SAP
63,Holiday Deals 2024,Email,2024-09-28,2024-10-27,12545.9,,10,APJ,INR,ERP_SAP
64,New Launch Blitz 2024,Influencer,06/06/2024,2024-07-29,12206.95,,8,EMEA,EUR,CRM_SFDC
65,Retargeting Batch 5 2024,Social,2024-05-14,2024-06-01,37409.96,lead_gen,8,NAM,USD,CRM_SFDC
66,B2B LinkedIn Drive 2024,Influencer,2024-08-06,2024-10-09,31038.69,,14,NAM,USD,ERP_SAP
67,YouTube Awareness 2024,Social,2024-07-22,2024-09-23,30369.42,lead_gen,8,APJ,INR,CRM_SFDC
68,Black Friday 2024,Email,22/06/2024,2024-08-13,4282.61,,11,APJ,INR,ERP_SAP
69,Year-End Clearance 2024,Email,08/04/2024,2024-05-19,2940.39,,6,EMEA,EUR,ERP_SAP
70,Spring Collection 2024,Content,2024-02-24,2024-03-09,10791.54,conversion,14,NAM,USD,CRM_SFDC
71,Influencer Collab 11 2024,Social,2024-03-31,2024-05-29,16868.67,,13,NAM,USD,AD_PLATFORM
72,Re-engagement Email 2024,Content,19/02/2024,2024-03-08,14009.16,upsell,3,NAM,USD,AD_PLATFORM
73,PMax Performance 2024,Social,2024-01-18,2024-03-19,14039.0,retention,3,EMEA,EUR,AD_PLATFORM
74,IG Reels Campaign 2024,Content,2024-04-21,2024-06-28,41766.17,lead_gen,9,EMEA,EUR,AD_PLATFORM
75,Back to School 2024,Influencer,2024-08-23,2024-09-24,17797.69,conversion,13,APJ,INR,CRM_SFDC
76,Diwali Grand Sale 2024,Social,2024-06-30,2024-08-21,12886.16,retention,13,EMEA,EUR,ERP_SAP
77,Webinar Funnel 17 2024,Affiliate,2024-06-21,2024-08-20,29874.57,,1,EMEA,EUR,AD_PLATFORM
78,SEO Authority Push 2024,Social,2024-08-05,2024-09-17,2230.09,reactivation,2,APJ,INR,ERP_SAP
79,Loyalty Rewards Drive 2024,Content,2024-04-08,2024-04-29,35987.55,,14,APJ,INR,CRM_SFDC
80,Flash Sale 2024,Retargeting,15/02/2024,2024-04-08,3206.82,,4,APJ,INR,AD_PLATFORM
81,Womens Day Special 2024,Push,20/06/2024,2024-08-05,33138.61,lead_gen,8,APJ,INR,CRM_SFDC
82,Independence Day 2024,Email,2024-04-21,2024-05-27,35747.05,,9,APJ,INR,CRM_SFDC
83,Cyber Monday 2024,Affiliate,16/04/2024,2024-06-20,36481.15,,10,EMEA,EUR,AD_PLATFORM
84,Christmas Festive 2024,Content,2024-09-22,2024-11-29,2986.12,traffic,10,EMEA,EUR,AD_PLATFORM
85,Affiliate Partner Launch 2024,Social,2024-03-06,2024-04-16,27628.87,,9,APJ,INR,AD_PLATFORM
86,App Download Drive 2024,Social,29/03/2024,2024-05-17,36881.81,,1,NAM,USD,CRM_SFDC
87,Cart Abandonment Flow 2024,Paid Search,04/08/2024,2024-08-30,3932.48,upsell,2,EMEA,EUR,AD_PLATFORM
88,Win-Back Campaign 2024,Affiliate,2024-08-07,2024-10-15,19886.04,,14,EMEA,EUR,AD_PLATFORM
89,Premium Upsell Seq 2024,Retargeting,23/02/2024,2024-05-05,8461.47,,11,APJ,INR,ERP_SAP
90,Referral Boost 2024,Influencer,07/07/2024,2024-08-14,30493.03,traffic,11,NAM,USD,AD_PLATFORM
